Nombre,Precio,Valoracion,Tienda,Fecha
"Alurin Flex Advance AMD Ryzen 7 5825U / 32GB / 1TB SSD / 15.6"" Teclado PT",599.0,"4,2/5",PcComponentes,2026-04-17
"Portátil HP 250R G10 15.6"" Intel Core 5 120U 16GB 1TB SSD Intel Graphics Windows 11 Home",771.47,N/A,PcComponentes,2026-04-17
"Portátil Asus ExpertBook P1 P1403CVA-S61431 14"" Intel Core 7 240H 16GB 512GB SSD Intel Graphics Sin Sistema Operativo",744.17,N/A,PcComponentes,2026-04-17
"HP OMEN 16 16-am0000ns Intel Core i9-14900HX 32GB 1TB RTX 5060 16"" Blanco",1549.0,"4,5/5",PcComponentes,2026-04-17
"Apple MacBook Pro Apple M5 10 Núcleos/16GB/1TB SSD/GPU 10 Núcleos/14"" Negro",1849.0,,PcComponentes,2026-04-17
"Portátil Lenovo ThinkPad L16 Gen 2 16"" Intel Core Ultra 5 225U 16GB 512GB SSD Windows 11 Pro IR Fingerprint",1285.29,N/A,PcComponentes,2026-04-17
"Acer Aspire Go 15 AG15-71P-7449 Intel Core i7-13620H 16GB 1TB SSD 15.6"" Windows 11 Home",649.0,,PcComponentes,2026-04-17
"Portátil Medion E17433 17.3"" Intel Core i7-13620H 16GB 1TB SSD UHD Graphics Windows 11 Home",629.0,N/A,PcComponentes,2026-04-17
"Portátil MSI Katana 15 HX B14WFK-461XES 15.6"" Intel Core i7-14650HX 32GB 1TB SSD RTX 5060 8GB FreeDOS",1399.0,,PcComponentes,2026-04-17
"Apple MacBook Neo 13"" Apple A18 Pro 8GB 256GB SSD GPU 5 núcleos macOS Plata",699.0,,PcComponentes,2026-04-17
"Portátil Alurin Flex Advance AMD Ryzen 5 7430 15.6"" / 16GB / 512GB / Windows 11 Home",439.99,,PcComponentes,2026-04-17
"Portátil Lenovo LOQ Essential 15IRX11 15.6"" Intel Core i5-13450HX 16GB 1TB SSD RTX 5050",1079.01,,PcComponentes,2026-04-17
"Portátil Acer Nitro V 16 AI 16"" AMD Ryzen 7 260 16GB 1TB SSD RTX 5050 Sin sistema operativo",999.0,,PcComponentes,2026-04-17
"Portátil HP 250R G9 15,6"" Intel Core 3 100U 8GB 256GB SSD Intel Graphics Windows 11 Pro",628.99,N/A,PcComponentes,2026-04-17
"Portátil HP 15-fd0324ns 15.6"" Intel Core i3-N305 8GB 256GB SSD Intel UHD Graphics FreeDOS",390.38,,PcComponentes,2026-04-17
"Apple MacBook Pro 14"" Apple M5 Pro 15 núcleos 24GB 1TB SSD GPU 16 núcleos macOS Negro Espacial",2499.0,,PcComponentes,2026-04-17
HP 255R G10 15.6″ AMD Ryzen 7 7735U 8GB 512GB SSD Windows 11 Home Wi-Fi 6,569.0,N/A,PcComponentes,2026-04-17
"Portátil ASUS ExpertBook P1 P1503CVA-S72229X 15.6"" Intel Core 5 210H 16GB 512GB SSD Intel Graphics Windows 11 Pro",699.0,N/A,PcComponentes,2026-04-17
"Apple MacBook Air 13"" Apple M5 16GB 1TB SSD GPU 10 núcleos macOS Medianoche",1449.0,,PcComponentes,2026-04-17
"Portátil Dell Pro 16 Plus PB16250 16"" Intel Core Ultra 5 235U 16GB 512GB SSD Windows 11 Pro Aluminio",1325.44,N/A,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15 AG15-72P-57K7 15,6"" Intel Core 5 120U 16GB 512GB SSD Intel Graphics Sin sistema operativo",449.0,,PcComponentes,2026-04-17
